[    50,  0.0000047]     0.0186,     0.1125,     0.2047,     0.8865,     1.8993,    30.3633, 
[   100,  0.0000062]     0.1648,     0.4664,     0.5923,     0.5249,     1.0831,    13.0962, 
[   150,  0.0000078]     0.3251,     0.6316,     0.7286,     0.3304,     0.7268,     8.9678, 
[   200,  0.0000093]     0.4067,     0.6889,     0.7747,     0.2849,     0.6230,     7.4894, 
[   250,  0.0000108]     0.4574,     0.7331,     0.8106,     0.2199,     0.5339,     6.3542, 
[   300,  0.0000124]     0.4953,     0.7627,     0.8330,     0.2175,     0.4902,     6.0922, 
[   350,  0.0000139]     0.5034,     0.7606,     0.8323,     0.2046,     0.4772,     5.7509, 
[   400,  0.0000154]     0.4830,     0.7540,     0.8314,     0.2077,     0.4859,     5.3626, 
[   450,  0.0000170]     0.5404,     0.7853,     0.8538,     0.1733,     0.4127,     4.7863, 
[   500,  0.0000185]     0.5598,     0.8034,     0.8682,     0.1597,     0.3824,     4.3763, 
[   550,  0.0000200]     0.5541,     0.8023,     0.8666,     0.1482,     0.3567,     4.7247, 
[   600,  0.0000216]     0.5566,     0.8026,     0.8688,     0.1458,     0.3501,     4.2766, 
[   650,  0.0000231]     0.5524,     0.8057,     0.8695,     0.1485,     0.3369,     4.4245, 
[   700,  0.0000246]     0.6041,     0.8415,     0.8971,     0.1300,     0.2889,     3.4972, 
[   750,  0.0000262]     0.5893,     0.8329,     0.8923,     0.1287,     0.3010,     3.6495, 
[   800,  0.0000277]     0.5980,     0.8363,     0.8945,     0.1299,     0.2987,     3.7232, 
[   850,  0.0000292]     0.5933,     0.8310,     0.8872,     0.1320,     0.2899,     4.4578, 
[   900,  0.0000308]     0.6190,     0.8477,     0.9006,     0.1161,     0.2588,     3.5009, 
[   950,  0.0000323]     0.6143,     0.8401,     0.8939,     0.1244,     0.2730,     3.9190, 
[  1000,  0.0000338]     0.6109,     0.8417,     0.8964,     0.1333,     0.2796,     4.1605, 
[  1050,  0.0000354]     0.6370,     0.8569,     0.9055,     0.1243,     0.2613,     3.4369, 
[  1100,  0.0000369]     0.6150,     0.8451,     0.9000,     0.1160,     0.2558,     3.6970, 
[  1150,  0.0000384]     0.6171,     0.8499,     0.9037,     0.1128,     0.2494,     3.4094, 
[  1200,  0.0000400]     0.6333,     0.8583,     0.9105,     0.1160,     0.2443,     3.4141, 
[  1250,  0.0000415]     0.6400,     0.8618,     0.9110,     0.1085,     0.2421,     3.4581, 
[  1300,  0.0000430]     0.6340,     0.8614,     0.9121,     0.1109,     0.2402,     3.2235, 
[  1350,  0.0000446]     0.6361,     0.8628,     0.9128,     0.1189,     0.2518,     3.2629, 
